date,product_id,product_name,category,cost_price_inr,current_price_inr,units_sold,daily_revenue_inr,daily_profit_inr,current_stock_qty,reorder_level_qty,days_until_expiry,active_discount_pct,predicted_demand_change_pct,price_elasticity_score,recommended_action,supplier_a_name,supplier_a_price_inr,supplier_a_lead_days,supplier_a_rating,supplier_b_name,supplier_b_price_inr,supplier_b_lead_days,supplier_b_rating,is_weekend,is_festival
2026-06-28,P001,Aavin Milk 500ml,Dairy,22,25,43,1075.0,129.0,18,50,1,0.0,36.9,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),21.5,1,4.8,Supplier B (Express Supply),21.0,2,4.2,1,0
2026-06-28,P002,Classmate Notebook 120p,Stationery,70,100,14,1400.0,420.0,12,40,,0.0,35.0,1.4,RESTOCK_URGENT,Supplier A (Std Logistics),68.0,3,4.5,Supplier B (Express Supply),65.0,1,4.9,1,0
2026-06-28,P003,Gel Ball Pen Blue,Stationery,6,10,11,110.0,44.0,250,50,,0.0,-10.0,1.4,HOLD,Supplier A (Std Logistics),5.5,2,4.2,Supplier B (Express Supply),5.8,1,4.6,1,0
2026-06-28,P004,Ponni Rice 5kg,Grocery,280,350,11,3850.0,770.0,15,30,180,0.0,15.0,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),275.0,2,4.6,Supplier B (Express Supply),270.0,4,4.1,1,0
2026-06-28,P005,Plastic Water Bottle 1L,Household,40,80,3,228.0,108.0,180,20,,5.0,32.0,1.4,APPLY_DISCOUNT,Supplier A (Std Logistics),38.0,3,4.0,Supplier B (Express Supply),35.0,5,3.8,1,0
2026-06-28,P006,Medium Heavy Stapler,Stationery,80,130,1,130.0,50.0,45,10,,0.0,35.9,1.4,HOLD,Supplier A (Std Logistics),78.0,4,4.1,Supplier B (Express Supply),75.0,2,4.4,1,0
2026-06-28,P007,School Backpack Blue,Bags,450,799,5,3995.0,1745.0,8,15,,0.0,31.5,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),430.0,3,4.7,Supplier B (Express Supply),440.0,1,4.8,1,0
2026-06-28,P008,Redmi Note 13 (8GB RAM),Electronics,14000,16999,0,0.0,0.0,5,5,,0.0,36.1,0.6,HOLD,Supplier A (Std Logistics),13800.0,2,4.9,Supplier B (Express Supply),13900.0,1,4.7,1,0
2026-06-29,P001,Aavin Milk 500ml,Dairy,22,25,41,1025.0,123.0,18,50,1,0.0,5.9,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),21.5,1,4.8,Supplier B (Express Supply),21.0,2,4.2,0,0
2026-06-29,P002,Classmate Notebook 120p,Stationery,70,100,14,1400.0,420.0,12,40,,0.0,35.0,1.4,RESTOCK_URGENT,Supplier A (Std Logistics),68.0,3,4.5,Supplier B (Express Supply),65.0,1,4.9,0,0
2026-06-29,P003,Gel Ball Pen Blue,Stationery,6,10,7,70.0,28.0,250,50,,0.0,-10.0,1.4,HOLD,Supplier A (Std Logistics),5.5,2,4.2,Supplier B (Express Supply),5.8,1,4.6,0,0
2026-06-29,P004,Ponni Rice 5kg,Grocery,280,350,18,6300.0,1260.0,15,30,180,0.0,15.0,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),275.0,2,4.6,Supplier B (Express Supply),270.0,4,4.1,0,0
2026-06-29,P005,Plastic Water Bottle 1L,Household,40,80,1,76.0,36.0,180,20,,5.0,2.0,1.4,APPLY_DISCOUNT,Supplier A (Std Logistics),38.0,3,4.0,Supplier B (Express Supply),35.0,5,3.8,0,0
2026-06-29,P006,Medium Heavy Stapler,Stationery,80,130,0,0.0,0.0,45,10,,0.0,0.3,1.4,HOLD,Supplier A (Std Logistics),78.0,4,4.1,Supplier B (Express Supply),75.0,2,4.4,0,0
2026-06-29,P007,School Backpack Blue,Bags,450,799,4,3196.0,1396.0,8,15,,0.0,6.7,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),430.0,3,4.7,Supplier B (Express Supply),440.0,1,4.8,0,0
2026-06-29,P008,Redmi Note 13 (8GB RAM),Electronics,14000,16999,2,33998.0,5998.0,5,5,,0.0,7.7,0.6,HOLD,Supplier A (Std Logistics),13800.0,2,4.9,Supplier B (Express Supply),13900.0,1,4.7,0,0
2026-06-30,P001,Aavin Milk 500ml,Dairy,22,25,32,800.0,96.0,18,50,1,0.0,6.0,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),21.5,1,4.8,Supplier B (Express Supply),21.0,2,4.2,0,0
2026-06-30,P002,Classmate Notebook 120p,Stationery,70,100,13,1300.0,390.0,12,40,,0.0,35.0,1.4,RESTOCK_URGENT,Supplier A (Std Logistics),68.0,3,4.5,Supplier B (Express Supply),65.0,1,4.9,0,0
2026-06-30,P003,Gel Ball Pen Blue,Stationery,6,10,11,110.0,44.0,250,50,,0.0,-10.0,1.4,HOLD,Supplier A (Std Logistics),5.5,2,4.2,Supplier B (Express Supply),5.8,1,4.6,0,0
2026-06-30,P004,Ponni Rice 5kg,Grocery,280,350,10,3500.0,700.0,15,30,180,0.0,15.0,0.6,RESTOCK_URGENT,Supplier A (Std Logistics),275.0,2,4.6,Supplier B (Express Supply),270.0,4,4.1,0,0
2026-06-30,P005,Plastic Water Bottle 1L,Household,40,80,4,304.0,144.0,180,20,,5.0,4.4,1.4,APPLY_DISCOUNT,Supplier A (Std Logistics),38.0,3,4.0,Supplier B (Express Supply),35.0,5,3.8,0,0
2026-06-30,P006,Medium Heavy Stapler,Stationery,80,130,0,0.0,0.0,45,10,,0.0,3.7,1.4,HOLD,Supplier A (Std Logistics),78.0,4,4.1,Supplier B (Express Supply),75.0,2,4.4,0,0
